Product Title,Product Image URLs,Product Description,Product Price,Product Stock,Product Code,Device Type,Device Category
250 VA Solar Power Inverter By Elcotek,['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/Inverter-Charger.jpg'],"250 VA Solar Power InverterSpecially designed for solar power useInput: 12 Volt DCOutput: 220 Volt ACBest Suitable for Television, Fan, LED Lights, Laptop Charging, etc.High Voltage / Surge Protection.Aluminium Die Cast Body Fixture - Eliminates Problem of Rusting.1 Month Offsite Testing WarrantyThe product may vary from the product shown in the photo.Weight - 4.5 Kgs","2,339.00 Rs.",Out of stock,ETSI200W,"Solar, Lighting & Essentials",Home
iPoints - Reward Points for Future Purchases,['https://www.maxbhi.com/images/thumbnails/400/400/detailed/8/logo_ipoint.jpg'],iPoints - Reward Points for Future PurchasesYou can add points to your accounts with this and you can buy anything from our website later on using these reward points. You can add multiple quantity to add more points. and you will get the same value of reward points as the total of this purchase.,1.00 Rs.,In Stock,ET-IPOINTS-100,Mobile Spare Parts,Home
LCD Screen for Nokia X3-02 Touch and Type (replacement display without touch),"['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_screen_for_nokia_x302_touch_and_type_replacement_display_by_maxbhi_com_95476.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/3055/lcd_screen_for_nokia_x302_touch_and_type_replacement_display_by_maxbhi_com_95476_0.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/3055/lcd_screen_for_nokia_x302_touch_and_type_replacement_display_by_maxbhi_com_95476_1.jpg']","Got broken LCD display screen in your Nokia X3-02 Touch and Type? Buy the Replacement LCD Screen for Nokia X3-02 Touch and Type and replace the broken, cracked, scratched screen in your handset. High quality display with perfect fit and resolution. Just replace the LCD, use it with your existing working Touch Screen and start using your phone again.The Replacement Display Screen for Nokia X3-02 Touch and Type also comes with manufacturing defect warranty and the shipping is done in secured packing to make sure you get the product in perfect shape.High quality product with 100% perfect fit.Use it with your existing and working touch screen digitizer.Tested before shipping (QC done).Brand new product with manufacturing defect warranty.Please note: This part is LCD Only! and is used with existing touch screen digitizer. If you have a broken screen of your Nokia X3-02 Touch and Type and you don't know which part you need then buy the ""LCD with Touch Screen (folder)"" or read more here: Confused between Touch Screen (digitizer), LCD Screen (lcd only) and LCD with Touch Screen (folder)IN THE BOXSales Package1 Piece of LCD Screen for Nokia X3-02 Touch and TypeTypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelNokia X3-02 Touch and TypeAVAILABILITYAvailabilityAvailable to orderFulfillment RatioClick hereNote:Please identify your part before placing order. Make sure you are ordering the correct part for your handset.This product is LCD only. Here LCD means ""Liquid Crystal Display"", which is the screen responsible for displaying. It does not includes touch screen digitizer. If you dont know what to change or you are confused about which part to buy, then please buy the ""LCD with Touch Screen (folder)"".Replacing lcd screen for Nokia X3-02 Touch and Type is a technical task. Please make sure you are capable of replacing this part before you buy it.",399.00 Rs.,In Stock,ET-LCD-104650,LCD,Mobile Spare Parts
LCD Screen for Nokia X2-02 - Replacement Display,"['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_screen_for_nokia_x202_replacement_display_by_maxbhi_com_53615.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/7502/lcd_screen_for_nokia_x202_replacement_display_by_maxbhi_com_53615_0.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/7502/lcd_screen_for_nokia_x202_replacement_display_by_maxbhi_com_53615_1.jpg']","Got broken LCD display screen in your Nokia X2-02? Buy the Replacement LCD Screen for Nokia X2-02 and replace the broken, cracked, scratched screen in your handset. High quality display with perfect fit and resolution. Just replace the LCD and start using your phone again.The Replacement Display Screen for Nokia X2-02 also comes with manufacturing defect warranty and the shipping is done in secured packing to make sure you get the product in perfect shape.High quality product with 100% perfect fit.Tested before shipping (QC done).Brand new product with manufacturing defect warranty.IN THE BOXSales Package1 Piece of LCD Screen for Nokia X2-02TypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelNokia X2-02AVAILABILITYAvailabilityAvailable to orderFulfillment RatioClick hereNote:Please identify your part before placing order. Make sure you are ordering the correct part for your handset.Replacing lcd screen for Nokia X2-02 is a technical task. Please make sure you are capable of replacing this part before you buy it.",479.00 Rs.,In Stock,ET-LCD-104643,LCD,Mobile Spare Parts
LCD Screen for Nokia 5610 XpressMusic - Replacement Display,"['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_screen_for_nokia_5610_xpressmusic_replacement_display_by_maxbhi_com_36666.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/8232/lcd_screen_for_nokia_5610_xpressmusic_replacement_display_by_maxbhi_com_36666_0.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/8232/lcd_screen_for_nokia_5610_xpressmusic_replacement_display_by_maxbhi_com_36666_1.jpg']","Got broken LCD display screen in your Nokia 5610 XpressMusic? Buy the Replacement LCD Screen for Nokia 5610 XpressMusic and replace the broken, cracked, scratched screen in your handset. High quality display with perfect fit and resolution. Just replace the LCD and start using your phone again.The Replacement Display Screen for Nokia 5610 XpressMusic also comes with manufacturing defect warranty and the shipping is done in secured packing to make sure you get the product in perfect shape.High quality product with 100% perfect fit.Tested before shipping (QC done).Brand new product with manufacturing defect warranty.IN THE BOXSales Package1 Piece of LCD Screen for Nokia 5610 XpressMusicTypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelNokia 5610 XpressMusicAVAILABILITYAvailabilityAvailable to orderFulfillment RatioClick hereNote:Please identify your part before placing order. Make sure you are ordering the correct part for your handset.Replacing lcd screen for Nokia 5610 XpressMusic is a technical task. Please make sure you are capable of replacing this part before you buy it.",389.00 Rs.,In Stock,ET-LCD-104305,LCD,Mobile Spare Parts
LCD with Touch Screen for Nokia C3,['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_with_touch_screen_for_nokia_c3_maxbhi.com_42755.jpg'],"Got broken LCD display screen in your Nokia C3? Buy LCD with Touch Screen for Nokia C3 and replace the broken, cracked, scratched screen in your handset. The repairing needs technical knowledge so please make sure to contact a nearby mobile repair shop to change the LCD display. The Replacement Display Screen for Nokia C3 also comes with manufacturing defect warranty. The shipping is done in secured packing to make sure you get the product in perfect shape.Specifications of LCD with Touch Screen for Nokia C3IN THE BOXSales Package1pc of LCD with Touch Screen for Nokia C3TypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelC3availabilityAvailabilityAvailable to orderFulfillment RatioClick hereWARRANTYCovered in WarrantyYes, Manufacturing defects onlyWarranty Summary1 Month Test WarrantyWarranty Service TypeSend to seller by courierWarranty DetailsClick here","2,469.00 Rs.",In Stock,ETLCDNKC3-104507,LCD,Mobile Spare Parts
LCD with Touch Screen for Nokia 1600,"['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_with_touch_screen_for_nokia_1600_maxbhi.com_98502.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/11/For-font-b-Nokia-b-font-font-b-1600-b-font-font-b-LCD-b-font.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/11/lcd1600.JPG']","Got broken LCD display screen in your Nokia 1600? Buy LCD with Touch Screen for Nokia 1600 and replace the broken, cracked, scratched screen in your handset. The repairing needs technical knowledge so please make sure to contact a nearby mobile repair shop to change the LCD display. The Replacement Display Screen for Nokia 1600 also comes with manufacturing defect warranty. The shipping is done in secured packing to make sure you get the product in perfect shape.Specifications of LCD with Touch Screen for Nokia 1600IN THE BOXSales Package1pc of LCD with Touch Screen for Nokia 1600TypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible Model1600availabilityAvailabilityAvailable to orderFulfillment RatioClick hereWARRANTYCovered in WarrantyYes, Manufacturing defects onlyWarranty Summary1 Month Test WarrantyWarranty Service TypeSend to seller by courierWarranty DetailsClick here",319.00 Rs.,Out of stock,ETLCDNK1600-104199,LCD,Mobile Spare Parts
LCD Screen for Nokia 5130 XpressMusic - Replacement Display,"['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_screen_for_nokia_5130_xpressmusic_replacement_display_by_maxbhi_com_51759.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/3961/lcd_screen_for_nokia_5130_xpressmusic_replacement_display_by_maxbhi_com_51759_0.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/3961/lcd_screen_for_nokia_5130_xpressmusic_replacement_display_by_maxbhi_com_51759_1.jpg']","Got broken LCD display screen in your Nokia 5130 XpressMusic? Buy the Replacement LCD Screen for Nokia 5130 XpressMusic and replace the broken, cracked, scratched screen in your handset. High quality display with perfect fit and resolution. Just replace the LCD and start using your phone again.The Replacement Display Screen for Nokia 5130 XpressMusic also comes with manufacturing defect warranty and the shipping is done in secured packing to make sure you get the product in perfect shape.High quality product with 100% perfect fit.Tested before shipping (QC done).Brand new product with manufacturing defect warranty.IN THE BOXSales Package1 Piece of LCD Screen for Nokia 5130 XpressMusicTypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelNokia 5130 XpressMusicAVAILABILITYAvailabilityAvailable to orderFulfillment RatioClick hereNote:Please identify your part before placing order. Make sure you are ordering the correct part for your handset.Replacing lcd screen for Nokia 5130 XpressMusic is a technical task. Please make sure you are capable of replacing this part before you buy it.",299.00 Rs.,In Stock,ET-LCD-104283,LCD,Mobile Spare Parts
LCD Screen for Nokia 105 - Replacement Display,"['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_screen_for_nokia_105_replacement_display_by_maxbhi_com_11926.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/5628/lcd_screen_for_nokia_105_replacement_display_by_maxbhi_com_11926_0.jpg', 'https://www.maxbhi.com/images/thumbnails/400/400/detailed/5628/lcd_screen_for_nokia_105_replacement_display_by_maxbhi_com_11926_1.jpg']","Got broken LCD display screen in your Nokia 105? Buy the Replacement LCD Screen for Nokia 105 and replace the broken, cracked, scratched screen in your handset. High quality display with perfect fit and resolution. Just replace the LCD and start using your phone again.The Replacement Display Screen for Nokia 105 also comes with manufacturing defect warranty and the shipping is done in secured packing to make sure you get the product in perfect shape.High quality product with 100% perfect fit.Tested before shipping (QC done).Brand new product with manufacturing defect warranty.IN THE BOXSales Package1 Piece of LCD Screen for Nokia 105TypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelNokia 105AVAILABILITYAvailabilityAvailable to orderFulfillment RatioClick hereNote:Please identify your part before placing order. Make sure you are ordering the correct part for your handset.Replacing lcd screen for Nokia 105 is a technical task. Please make sure you are capable of replacing this part before you buy it.",309.00 Rs.,In Stock,ET-LCD-104176,LCD,Mobile Spare Parts
LCD with Touch Screen for Nokia N81,['https://www.maxbhi.com/images/thumbnails/400/400/detailed/3/lcd_with_touch_screen_for_nokia_n81_maxbhi.com_98024.jpg'],"Got broken LCD display screen in your Nokia N81? Buy LCD with Touch Screen for Nokia N81 and replace the broken, cracked, scratched screen in your handset. The repairing needs technical knowledge so please make sure to contact a nearby mobile repair shop to change the LCD display. The Replacement Display Screen for Nokia N81 also comes with manufacturing defect warranty. The shipping is done in secured packing to make sure you get the product in perfect shape.Specifications of LCD with Touch Screen for Nokia N81IN THE BOXSales Package1pc of LCD with Touch Screen for Nokia N81TypeBrand New (compatible, non original)COMPATIBILITYCompatible BrandNokiaCompatible ModelN81availabilityAvailabilityAvailable to orderFulfillment RatioClick hereWARRANTYCovered in WarrantyYes, Manufacturing defects onlyWarranty Summary1 Month Test WarrantyWarranty Service TypeSend to seller by courierWarranty DetailsClick here",319.00 Rs.,Out of stock,ETLCDNKN81-104605,LCD,Mobile Spare Parts
